"SkuId","Description","ServiceDisplayName","ResourceFamily","ResourceGroup","ServiceRegion","UsageUnitDescription","BaseUnitDescription","BaseUnitConversionFactor","StartUsageAmount","DisaplayQuantity","CurrencyCode","Unit","Nanos","GeoTaxonomy","PricePerUsageUnit"
"0013-863C-A2FF","Licensing Fee for SQL Server 2016 Standard on VM with 18 VCPU","Compute Engine","License","SQLServer2016Standard","global","hour","second","3600","0","1","USD","2","961000000","GLOBAL","2.961"
"0014-939F-88A0","Licensing Fee for Windows Server 2012 BYOL (CPU cost)","Compute Engine","License","Google","global","hour","second","3600","0","1","USD","0","0","GLOBAL","0"
"0059-5B09-058F","Licensing Fee for SQL Server 2012 Enterprise on VM with 70 VCPU","Compute Engine","License","Microsoft","global","hour","second","3600","0","1","USD","27","930000000","GLOBAL","27.93"
"0063-AC2D-2E3E","Licensing Fee for Windows Server 2012 Datacenter Edition on g1-small","Compute Engine","License","WindowsServer2012","global","hour","second","3600","0","1","USD","0","23000000","GLOBAL","0.023"
"0082-69B5-4092","Licensing Fee for Windows Server 2008R2 BYOL (RAM cost)","Compute Engine","License","Google","global","gibibyte hour","byte second","3865470566400","0","1","USD","0","0","GLOBAL","0"
"00B2-37B0-B8BB","Licensing Fee for Windows Server 2016 Datacenter Edition (CPU cost)","Compute Engine","License","Windows2016","global","hour","second","3600","0","1","USD","0","46000000","GLOBAL","0.046"
"00D4-6D44-3FCB","Licensing Fee for SQL Server 2017 Standard on VM with 66 VCPU","Compute Engine","License","Google","global","hour","second","3600","0","1","USD","10","857000000","GLOBAL","10.857"
"011E-08CB-3625","Licensing Fee for SQL Server 2014 Enterprise on VM with 54 VCPU","Compute Engine","License","SQLServer2014Enterprise","global","hour","second","3600","0","1","USD","21","546000000","GLOBAL","21.546"
"0129-0DE0-1C40","Licensing Fee for SQL Server 2012 Web on VM with 88 VCPU","Compute Engine","License","Microsoft","global","hour","second","3600","0","1","USD","0","968000000","GLOBAL","0.968"
"0152-FC50-2539","Licensing Fee for SQL Server 2016 Standard on VM with 86 VCPU","Compute Engine","License","Microsoft","global","hour","second","3600","0","1","USD","14","147000000","GLOBAL","14.147"
"0206-12E6-FB5B","Licensing Fee for SQL Server 2012 Enterprise on VM with 26 VCPU","Compute Engine","License","SQLServer2012Enterprise","global","hour","second","3600","0","1","USD","10","374000000","GLOBAL","10.374"
"0225-8EF9-F475","Licensing Fee for SQL Server 2014 Enterprise on VM with 62 VCPU","Compute Engine","License","SQLServer2014Enterprise","global","hour","second","3600","0","1","USD","24","738000000","GLOBAL","24.738"
"0263-C31B-F36E","Licensing Fee for SQL Server 2012 Web on VM with 68 VCPU","Compute Engine","License","Microsoft","global","hour","second","3600","0","1","USD","0","748000000","GLOBAL","0.748"
"0294-B8D4-F83C","Licensing Fee for SQL Server 2012 Web on VM with 80 VCPU","Compute Engine","License","Microsoft","global","hour","second","3600","0","1","USD","0","880000000","GLOBAL","0.88"
"0351-273E-0F0C","Licensing Fee for SQL Server 2014 Enterprise on VM with 88 VCPU","Compute Engine","License","Microsoft","global","hour","second","3600","0","1","USD","35","112000000","GLOBAL","35.112"
"0388-AFDD-BC41","On-demand fee for total VM network bandwidth up to 100 Gbps in North Virginia","Compute Engine","Network","AdvancedNetworking","us-east4","hour","second","3600","0","1","USD","1","11300000","REGIONAL","1.0113"
"03A2-517D-ACDA","Licensing Fee for Windows 10 Enterprise BYOL (CPU cost)","Compute Engine","License","Google","global","hour","second","3600","0","1","USD","0","0","GLOBAL","0"
"03F4-45F5-24A2","Licensing Fee for Windows Server 2016 Nano on g1-small","Compute Engine","License","Windows2016","global","hour","second","3600","0","1","USD","0","23000000","GLOBAL","0.023"
"04F8-7B39-1826","Sole Tenancy Premium for Compute-optimized Sole Tenancy Instance RAM running in Virginia","Compute Engine","Compute","RAM","us-east4","gibibyte hour","byte second","3865470566400","0","1","USD","0","512900","REGIONAL","0.0005129"
"051A-1A60-0023","Sole Tenancy Premium for Compute-optimized Sole Tenancy Instance Core running in Virginia","Compute Engine","Compute","CPU","us-east4","hour","second","3600","0","1","USD","0","4378500","REGIONAL","0.0043785"
"054B-7E1C-847E","Licensing Fee for SQL Server 2014 Standard on VM with 16 VCPU","Compute Engine","License","SQLServer2014Standard","global","hour","second","3600","0","1","USD","2","632000000","GLOBAL","2.632"
"0565-F0BB-979A","Licensing Fee for Windows Server 1709 Datacenter Edition (RAM cost)","Compute Engine","License","Google","global","gibibyte hour","byte second","3865470566400","0","1","USD","0","0","GLOBAL","0"
"05E7-1182-C50B","Licensing Fee for SQL Server 2012 Web on VM with 60 VCPU","Compute Engine","License","SQLServer2012Web","global","hour","second","3600","0","1","USD","0","660000000","GLOBAL","0.66"
"05FF-FE81-1D19","Licensing Fee for SQL Server 2012 Standard on VM with 96 or more VCPU","Compute Engine","License","Microsoft","global","hour","second","3600","0","1","USD","15","792000000","GLOBAL","15.792"
"0604-D016-8590","Licensing Fee for Windows 10 Enterprise BYOL (CPU cost)","Compute Engine","License","Google","global","hour","second","3600","0","1","USD","0","0","GLOBAL","0"
"0638-5864-0180","Network Load Balancing: Forwarding Rule Minimum Service Charge in Virginia","Compute Engine","Network","LoadBalancing","us-east4","hour","second","3600","0","1","USD","0","28000000","REGIONAL","0.028"
"0643-ED14-CCF7","Network Inter Region Egress from Virginia to Seoul","Compute Engine","Network","InterregionEgress","us-east4","gibibyte","byte","1073741824","0","1","USD","0","80000000",,"0.08"
"0650-19FD-C353","Network Inter Region Egress from Virginia to Zurich","Compute Engine","Network","InterregionEgress","us-east4","gibibyte","byte","1073741824","0","1","USD","0","80000000",,"0.08"
"0710-53D1-2F6D","Licensing Fee for Windows Server Core (GPU cost)","Compute Engine","License","WindowsCore","global","hour","second","3600","0","1","USD","0","0","GLOBAL","0"
"0756-5236-5674","Licensing Fee for SQL Server 2016 Web on VM with 34 VCPU","Compute Engine","License","SQLServer2016Web","global","hour","second","3600","0","1","USD","0","374000000","GLOBAL","0.374"
"07F7-085B-8C59","Network Internet Ingress from Middle East to Virginia","Compute Engine","Network","PremiumInternetIngress","us-east4","gibibyte","byte","1073741824","0","1","USD","0","0",,"0"
"081B-3F36-FB63","Licensing Fee for SQL Server 2014 Web on VM with 96 or more VCPU","Compute Engine","License","Microsoft","global","hour","second","3600","0","1","USD","1","56000000","GLOBAL","1.056"
"0854-84EF-C13D","Memory-optimized Sole Tenancy Instance RAM running in Northern Virginia","Compute Engine","Compute","RAM","us-east4","gibibyte hour","byte second","3865470566400","0","1","USD","0","5800000","REGIONAL","0.0058"
"0982-D991-455B","Licensing Fee for SQL Server 2016 Standard on VM with 62 VCPU","Compute Engine","License","SQLServer2016Standard","global","hour","second","3600","0","1","USD","10","199000000","GLOBAL","10.199"
"09D7-0E0C-186D","Licensing Fee for SQL Server 2017 Web on VM with 20 VCPU","Compute Engine","License","Google","global","hour","second","3600","0","1","USD","0","220000000","GLOBAL","0.22"
"09ED-4473-302E","Licensing Fee for SQL Server 2016 Enterprise on VM with 24 VCPU","Compute Engine","License","SQLServer2016Enterprise","global","hour","second","3600","0","1","USD","9","576000000","GLOBAL","9.576"
"0A64-800D-3896","Licensing Fee for SQL Server 2017 Web on VM with 64 VCPU","Compute Engine","License","Google","global","hour","second","3600","0","1","USD","0","704000000","GLOBAL","0.704"
"0AD1-B85C-B371","Licensing Fee for SQL Server 2014 Web on VM with 92 VCPU","Compute Engine","License","Microsoft","global","hour","second","3600","0","1","USD","1","12000000","GLOBAL","1.012"
"0B2D-BDE1-6668","N2 Custom Instance Core running in Virginia","Compute Engine","Compute","CPU","us-east4","hour","second","3600","0","1","USD","0","37364000","REGIONAL","0.037364"
"0BA1-9A4F-3F6A","Licensing Fee for SQL Server 2017 Enterprise on VM with 1 to 4 VCPU","Compute Engine","License","Google","global","hour","second","3600","0","1","USD","1","596000000","GLOBAL","1.596"
"0BDF-E99E-853E","Compute-optimized Sole Tenancy Instance RAM running in Virginia","Compute Engine","Compute","RAM","us-east4","gibibyte hour","byte second","3865470566400","0","1","USD","0","5129000","REGIONAL","0.005129"
"0BE0-9521-4DF0","Licensing Fee for SQL Server 2014 Web on VM with 12 VCPU","Compute Engine","License","SQLServer2014Web","global","hour","second","3600","0","1","USD","0","132000000","GLOBAL","0.132"
"0CC2-BA23-CA24","Network Inter Region Ingress from Montreal to Virginia","Compute Engine","Network","InterregionIngress","us-east4","gibibyte","byte","1073741824","0","1","USD","0","0",,"0"
"0D27-55D7-0644","Licensing Fee for Windows Server 2008R2 BYOL (CPU cost)","Compute Engine","License","Google","global","hour","second","3600","0","1","USD","0","0","GLOBAL","0"
"0D5E-A385-EB21","Licensing Fee for SQL Server 2016 Standard on VM with 64 VCPU","Compute Engine","License","SQLServer2016Standard","global","hour","second","3600",,"1",,,,"GLOBAL","0"
"0E32-109B-C2C4","Licensing Fee for SQL Server 2017 Standard on VM with 76 VCPU","Compute Engine","License","Google","global","hour","second","3600","0","1","USD","12","502000000","GLOBAL","12.502"
"0F03-9674-CBF3","Licensing Fee for SQL Server 2017 Standard on VM with 6 VCPU","Compute Engine","License","Google","global","hour","second","3600","0","1","USD","0","987000000","GLOBAL","0.987"
"0F05-720B-8CD0","Licensing Fee for SQL Server 2016 Web on VM with 24 VCPU","Compute Engine","License","SQLServer2016Web","global","hour","second","3600","0","1","USD","0","264000000","GLOBAL","0.264"
"0FC4-7DC7-6F19","Licensing Fee for SQL Server 2017 Standard on VM with 68 VCPU","Compute Engine","License","Google","global","hour","second","3600","0","1","USD","11","186000000","GLOBAL","11.186"
"0FDF-61CE-C317","Memory-optimized Sole Tenancy Instance RAM running in Virginia","Compute Engine","Compute","RAM","us-east4","gibibyte hour","byte second","3865470566400","0","1","USD","0","5759000","REGIONAL","0.005759"
"0FE4-4E28-3A72","Licensing Fee for SQL Server 2016 Web on VM with 96 or more VCPU","Compute Engine","License","Microsoft","global","hour","second","3600","0","1","USD","1","56000000","GLOBAL","1.056"
"0FF8-BFBF-8789","Licensing Fee for SQL Server 2014 Web on VM with 22 VCPU","Compute Engine","License","SQLServer2014Web","global","hour","second","3600","0","1","USD","0","242000000","GLOBAL","0.242"
"1025-0260-BD40","Licensing Fee for Windows Server 2012 BYOL (GPU cost)","Compute Engine","License","Google","global","hour","second","3600","0","1","USD","0","0","GLOBAL","0"
"1025-E4BF-DEC0","Licensing Fee for Windows Server 2012 R2 Datacenter Edition (RAM cost)","Compute Engine","License","WindowsServer2012R2","global","gibibyte hour","byte second","3865470566400","0","1","USD","0","0","GLOBAL","0"
"106B-1ADD-C951","Licensing Fee for SQL Server 2012 Web on VM with 78 VCPU","Compute Engine","License","Microsoft","global","hour","second","3600","0","1","USD","0","858000000","GLOBAL","0.858"
"1089-76C0-7706","Licensing Fee for SQL Server 2012 Web on VM with 40 VCPU","Compute Engine","License","SQLServer2012Web","global","hour","second","3600","0","1","USD","0","440000000","GLOBAL","0.44"
"10A2-75B9-56F6","Custom Extended Instance Ram running in Virginia","Compute Engine","Compute","RAM","us-east4","gibibyte hour","byte second","3865470566400","0","1","USD","0","10756000","REGIONAL","0.010756"
"10C2-676E-E4B7","Licensing Fee for SQL Server 2014 Enterprise on VM with 72 VCPU","Compute Engine","License","Microsoft","global","hour","second","3600","0","1","USD","28","728000000","GLOBAL","28.728"
"10EE-E4A1-96CF","Licensing Fee for SQL Server 2014 Enterprise on VM with 14 VCPU","Compute Engine","License","SQLServer2014Enterprise","global","hour","second","3600","0","1","USD","5","586000000","GLOBAL","5.586"
"10F9-424F-066C","Licensing Fee for SQL Server 2016 Enterprise on VM with 74 VCPU","Compute Engine","License","Microsoft","global","hour","second","3600","0","1","USD","29","526000000","GLOBAL","29.526"
"115C-7108-8B9E","N2D AMD Custom Instance Core running in Virginia","Compute Engine","Compute","CPU","us-east4","hour","second","3600","0","1","USD","0","32525000","REGIONAL","0.032525"
"1188-509C-EF28","Licensing Fee for SQL Server 2017 Web on VM with 14 VCPU","Compute Engine","License","Google","global","hour","second","3600","0","1","USD","0","154000000","GLOBAL","0.154"
"11B5-883C-8977","Licensing Fee for SQL Server 2012 Standard on VM with 34 VCPU","Compute Engine","License","SQLServer2012Standard","global","hour","second","3600","0","1","USD","5","593000000","GLOBAL","5.593"
"11C7-D6E4-7233","Licensing Fee for Click to Deploy GreenSQL on g1-small","Compute Engine","License","GreenSQL","global","hour","second","3600","0","1","USD","0","0","GLOBAL","0"
